conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username,clean_text,auto_label,auto_label_str
1906495768770531778,Sun Mar 30 23:56:26 +0000 2025,0,Ya Allah masa gw kalah ma maung dia aja udh #KaburAjaDulu masa gw blm bisa?? ,1906495768770531778,,,in,,0,0,0,https://x.com/dcffein_coffee/status/1906495768770531778,829172331998113792,dcffein_coffee,Ya Allah masa gw kalah ma maung dia aja udh #KaburAjaDulu masa gw blm bisa??,0,Negatif
1906494540338561499,Sun Mar 30 23:51:34 +0000 2025,1,Satwa pun better #KaburAjaDulu drpd di indo,1906494540338561499,,,in,,0,0,0,https://x.com/jarijemariai/status/1906494540338561499,1501603183252029443,jarijemariai,Satwa pun better #KaburAjaDulu drpd di indo,0,Negatif
1906166957168329070,Sun Mar 30 23:50:09 +0000 2025,0,@piyopikavet Harimau aja #KaburAjaDulu,1906494186461028840,,piyopikavet,in,,0,0,0,https://x.com/rdxpjr/status/1906494186461028840,114194006,rdxpjr,@piyopikavet Harimau aja #KaburAjaDulu,0,Negatif
1906492475197542682,Sun Mar 30 23:43:21 +0000 2025,0,Contoh kaburajadulu pada hewan,1906492475197542682,,,in,,0,0,0,https://x.com/aditbeem/status/1906492475197542682,61729349,aditbeem,Contoh kaburajadulu pada hewan,0,Negatif
1906166957168329070,Sun Mar 30 23:30:49 +0000 2025,0,@piyopikavet Harimau beruntung kaburajadulu ,1906489320523079981,,piyopikavet,in,,0,0,0,https://x.com/rpanduto/status/1906489320523079981,1475275963734790145,rpanduto,@piyopikavet Harimau beruntung kaburajadulu,1,Netral
1906291875524346178,Sun Mar 30 23:18:41 +0000 2025,0,@aksisepihak @buruhmigren Saya dah hilang harapan. #kaburajadulu,1906486266742628649,,aksisepihak,in,,0,0,0,https://x.com/fahmialalam/status/1906486266742628649,1134712396776263682,fahmialalam,@aksisepihak @buruhmigren Saya dah hilang harapan. #kaburajadulu,0,Negatif
1906166957168329070,Sun Mar 30 22:04:29 +0000 2025,1,@piyopikavet Contoh #kaburajadulu yang sukses hidup nyaman,1906467592128139654,,piyopikavet,in,,0,0,0,https://x.com/titanabrian/status/1906467592128139654,988620132766248961,titanabrian,@piyopikavet Contoh #kaburajadulu yang sukses hidup nyaman,2,Positif
1906466614339666390,Sun Mar 30 22:00:35 +0000 2025,0,harimau kaburajadulu,1906466614339666390,,,in,,0,0,0,https://x.com/caemomilo/status/1906466614339666390,2179205876,caemomilo,harimau kaburajadulu,0,Negatif
1906453742624583700,Sun Mar 30 21:09:27 +0000 2025,5,Haiiii mootsku yg saya cintai dan saya sayangi!!! Selamat Hari Raya yaa!! Semoga kalian yg merayakan dan yang tidak sama sama merasakan kebahagiaan di bulan yg penuh kemenangan ini!!! Semoga THR kalian banyak yaaa biar bisa #KaburAjaDulu (ditabung maksudnya kcuali km sultan),1906453742624583700,,,in,,0,0,0,https://x.com/babystayv/status/1906453742624583700,1365645617934991367,babystayv,Haiiii mootsku yg saya cintai dan saya sayangi!!! Selamat Hari Raya yaa!! Semoga kalian yg merayakan dan yang tidak sama sama merasakan kebahagiaan di bulan yg penuh kemenangan ini!!! Semoga THR kalian banyak yaaa biar bisa #KaburAjaDulu (ditabung maksudnya kcuali km sultan),2,Positif
1906020215709979078,Sun Mar 30 19:11:52 +0000 2025,0,@GasMedsos66731 Sebelum #KaburAjaDulu pikir dulu matang2 punya beladiri gk? Sudah ada tujuan gk? Jgn tiba2 sok karena politik sok kritis tapi mau dijadikan boneka oleh orang elite yg hartanya 11 miliar lebih macet-macetan dijln dianggap kls menengahnya ibu kota,1906424155471581506,,GasMedsos,in,,0,0,0,https://x.com/TxtdrSemeru/status/1906424155471581506,1736209194385387520,TxtdrSemeru,@GasMedsos66731 Sebelum #KaburAjaDulu pikir dulu matang2 punya beladiri gk? Sudah ada tujuan gk? Jgn tiba2 sok karena politik sok kritis tapi mau dijadikan boneka oleh orang elite yg hartanya 11 miliar lebih macet-macetan dijln dianggap kls menengahnya ibu kota,0,Negatif
